Id,SalePrice
1461,127525.0151802704
1462,161958.9618664392
1463,190264.33338655185
1464,186578.5842119294
1465,176953.95839285458
1466,175499.52990399094
1467,176844.477664241
1468,166484.83826368419
1469,175447.09355902948
1470,128415.43645460329
1471,185046.31156892778
1472,95533.2647989913
1473,98494.25666157517
1474,151288.58797834473
1475,120442.21181651764
1476,391789.9533792894
1477,254277.89128892784
1478,312031.24795114464
1479,257414.4894211342
1480,515429.2137720885
1481,315079.38313014753
1482,206911.6547014916
1483,181723.352772117
1484,171879.57622270405
1485,176417.58207526366
1486,193112.94127318455
1487,366562.029808686
1488,223060.4429886091
1489,213982.9671414599
1490,227106.55867372602
1491,191513.2363226634
1492,91386.79302443627
1493,184748.551490996
1494,292599.5222172549
1495,287946.2974244009
1496,231621.4436085519
1497,182415.2634394419
1498,170386.48047524702
1499,163821.63102114177
1500,158410.6861434084
1501,181197.63911924633
1502,148719.24622165723
1503,299520.88251223316
1504,237349.29105989658
1505,226822.81861708433
1506,179880.6929050438
1507,252112.4496038794
1508,190122.81436053547
1509,166501.51634444267
1510,149838.39693453675
1511,145251.05482781059
1512,168037.95142059043
1513,141010.2513958405
1514,182457.3459294467
1515,209294.11826790657
1516,138865.91584038883
1517,165997.51919422398
1518,130933.48844198529
1519,246011.66813791465
1520,132705.07148978568
1521,138752.3163923606
1522,164695.78344957656
1523,112793.64577505653
1524,120158.4885995336
1525,121599.02101985036
1526,118377.14136968186
1527,102354.44431674312
1528,128967.0232782941
1529,152570.037859808
1530,181871.404681808
1531,123448.9638235608
1532,93252.22276273611
1533,147073.6210303705
1534,118820.25616151684
1535,156536.13010098017
1536,104549.39850602049
1537,72695.75305253518
1538,174658.30001658745
1539,217524.48950816315
1540,87806.2637482558
1541,144190.67254116133
1542,145333.80960982057
1543,227073.42454832475
1544,69993.84677352181
1545,107814.39779304895
1546,130256.31011313568
1547,133609.25175577874
1548,132713.07772405597
1549,117320.51272280885
1550,143500.4991121525
1551,109660.50559366684
1552,161001.97112462993
1553,157940.65758125696
1554,109412.28104204866
1555,173341.43847959174
1556,81041.35259639665
1557,90921.88748432312
1558,98750.76750724361
1559,79733.004237545
1560,153091.79907901035
1561,137290.04501932926
1562,131608.50544987808
1563,122178.59073268106
1564,153014.3391136802
1565,146255.8746234905
1566,230966.0985812479
1567,75756.04997990356
1568,213427.4440835381
1569,145478.6602768124
1570,134782.3254795687
1571,115530.39137787023
1572,148650.71089234046
1573,263796.1375030032
1574,119565.57115675931
1575,221157.2109494642
1576,240352.75566003096
1577,195588.415245157
1578,145758.7998478481
1579,156787.8757107371
1580,193587.66402496875
1581,156024.00298950603
1582,128864.34969509525
1583,323698.1809028737
1584,229409.71989108453
1585,141970.93100546722
1586,76518.88751466024
1587,100137.55032662308
1588,155508.0831456897
1589,105894.84311881727
1590,128889.76581069244
1591,83257.58314318844
1592,115601.9551120485
1593,124469.6689053633
1594,139459.234934979
1595,115687.62332453438
1596,251286.87853882753
1597,179084.61724604675
1598,219470.3816176835
1599,174433.21500014485
1600,170809.38808172155
1601,74292.78638771283
1602,122655.14758042416
1603,71480.73999590946
1604,265069.5813093324
1605,237510.66849367603
1606,166040.30890259673
1607,135994.44223413776
1608,196145.13610319237
1609,192529.46408844605
1610,160313.79139798923
1611,135876.69023158748
1612,173838.7290444363
1613,164482.9566136188
1614,122602.9316063004
1615,81546.74867447854
1616,66402.66809678677
1617,91928.50851827109
1618,121983.36315534386
1619,138230.95694812827
1620,157239.07279825077
1621,136588.0325653449
1622,140966.00064696066
1623,273452.51868697116
1624,212146.00880808453
1625,127088.30495052718
1626,162095.48078060363
1627,183065.4053873657
1628,269411.56252746796
1629,180336.62781250998
1630,361542.7043822764
1631,229655.10479869402
1632,240841.8023807533
1633,166638.64009108001
1634,193729.29974260338
1635,176549.02137830493
1636,151865.6085585596
1637,198599.58643321454
1638,194959.00061777708
1639,180841.2723628228
1640,247960.80291106942
1641,177063.59360184925
1642,226340.39083715677
1643,217624.14182985705
1644,225259.7022245543
1645,209587.66747592215
1646,160913.4273909582
1647,158418.68166791182
1648,134918.79436569955
1649,141288.88000175075
1650,121586.17510017246
1651,115874.63380804614
1652,95194.99096333841
1653,94604.9485119882
1654,149955.7556612724
1655,142751.89228431764
1656,146158.24541873258
1657,151518.73140014373
1658,148410.0584962173
1659,126483.64014817073
1660,159172.92888887477
1661,454020.2791017378
1662,425404.4134199512
1663,396293.11715086317
1664,418240.99154807813
1665,334148.53294146823
1666,305746.8257693914
